Sample_names,Samples_renames,EcoClusterID,fieldID,tagID,healthChart,Population,timeOfDay,depthOfBottominMeters,decimalLatitude,decimalLongitude,EcoLocationID_short,EcoReefID,EcoSiteID,EcoZoneID,EcoPlotID,eventEnteredBy,dayCollected,monthCollected,yearCollected,dateCollected
Spis_OCDA_588,Spis_OCDA_588,Offshore Central GBR,1,0,0,OffshoreCentral,9:00:00,5,-18.83187,147.6525,OCDA_FR2S,Davies,Front2,Shallow,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_589,Spis_OCDA_589,Offshore Central GBR,2,0,0,OffshoreCentral,9:00:00,5,-18.83187,147.6525,OCDA_FR2S,Davies,Front2,Shallow,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_593,Spis_OCDA_593,Offshore Central GBR,11,0,0,OffshoreCentral,9:00:00,5,-18.83187,147.6525,OCDA_FR2S,Davies,Front2,Shallow,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_594,Spis_OCDA_594,Offshore Central GBR,4,0,0,OffshoreCentral,9:00:00,5,-18.83187,147.6525,OCDA_FR2S,Davies,Front2,Shallow,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_595,Spis_OCDA_595,Offshore Central GBR,14,0,0,OffshoreCentral,9:00:00,5,-18.83187,147.6525,OCDA_FR2S,Davies,Front2,Shallow,0,Zoe Meziere,15,1,2022,15/1/2022
Spis_OCDA_600,Spis_OCDA_600,Offshore Central GBR,11,0,0,OffshoreCentral,15:00:00,14,-18.81966,147.66394,OCDA_FR1D,Davies,Front1,Deep,0,Zoe Meziere,16,1,2022,16/1/2022
Spis_OCDA_601,Spis_OCDA_601,Offshore Central GBR,10,0,0,OffshoreCentral,15:00:00,14,-18.81966,147.66394,OCDA_FR1D,Davies,Front1,Deep,0,Zoe Meziere,16,1,2022,16/1/2022
Spis_OCDA_602,Spis_OCDA_602,Offshore Central GBR,15,0,0,OffshoreCentral,15:00:00,14,-18.81966,147.66394,OCDA_FR1D,Davies,Front1,Deep,0,Zoe Meziere,16,1,2022,16/1/2022
Spis_OCDA_603,Spis_OCDA_603,Offshore Central GBR,12,0,0,OffshoreCentral,15:00:00,14,-18.81966,147.66394,OCDA_FR1D,Davies,Front1,Deep,0,Zoe Meziere,16,1,2022,16/1/2022
Spis_OCDA_613,Spis_OCDA_613,Offshore Central GBR,9,0,0,OffshoreCentral,9:00:00,6,-18.8192,147.66391,OCDA_FR1S,Davies,Front1,Shallow,0,Zoe Meziere,16,1,2022,16/1/2022
Spis_OCDA_670,Spis_OCDA_670,Offshore Central GBR,5,0,0,OffshoreCentral,16:00:00,15,-18.80592,147.6688,OCDA_FL1D,Davies,Flank1,Deep,0,Zoe Meziere,19,1,2022,19/1/2022
Spis_OCDA_672,Spis_OCDA_672,Offshore Central GBR,1,0,0,OffshoreCentral,16:00:00,15,-18.80592,147.6688,OCDA_FL1D,Davies,Flank1,Deep,0,Zoe Meziere,19,1,2022,19/1/2022
Spis_OCDA_675,Spis_OCDA_675,Offshore Central GBR,6,0,0,OffshoreCentral,16:00:00,15,-18.80592,147.6688,OCDA_FL1D,Davies,Flank1,Deep,0,Zoe Meziere,19,1,2022,19/1/2022
Spis_OCDA_677,Spis_OCDA_677,Offshore Central GBR,11,0,0,OffshoreCentral,16:00:00,15,-18.80592,147.6688,OCDA_FL1D,Davies,Flank1,Deep,0,Zoe Meziere,19,1,2022,19/1/2022
Spis_OCDA_679,Spis_OCDA_679,Offshore Central GBR,9,0,0,OffshoreCentral,16:00:00,15,-18.80592,147.6688,OCDA_FL1D,Davies,Flank1,Deep,0,Zoe Meziere,19,1,2022,19/1/2022
Spis_OCDA_683,Spis_OCDA_683,Offshore Central GBR,1,0,0,OffshoreCentral,9:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank1,Shallow,0,Zoe Meziere,20,1,2022,20/1/2022
Spis_OCDA_691,Spis_OCDA_691,Offshore Central GBR,12,0,0,OffshoreCentral,9:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank1,Shallow,0,Zoe Meziere,20,1,2022,20/1/2022
Spis_OCDA_740,Spis_OCDA_740,Offshore Central GBR,4,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_742,Spis_OCDA_742,Offshore Central GBR,21,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_743,Spis_OCDA_743,Offshore Central GBR,20,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_746,Spis_OCDA_746,Offshore Central GBR,2,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_748,Spis_OCDA_748,Offshore Central GBR,10,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_749,Spis_OCDA_749,Offshore Central GBR,22,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_752,Spis_OCDA_752,Offshore Central GBR,18,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_755,Spis_OCDA_755,Offshore Central GBR,13,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_757,Spis_OCDA_757,Offshore Central GBR,17,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_758,Spis_OCDA_758,Offshore Central GBR,6,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_760,Spis_OCDA_760,Offshore Central GBR,20,0,0,OffshoreCentral,14:30:00,5,-18.83125,147.63316,OCDA_LA2S,Davies,Lagoon2,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_762,Spis_OCDA_762,Offshore Central GBR,12,0,0,OffshoreCentral,14:30:00,5,-18.83125,147.63316,OCDA_LA2S,Davies,Lagoon2,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_763,Spis_OCDA_763,Offshore Central GBR,2,0,0,OffshoreCentral,14:30:00,5,-18.83125,147.63316,OCDA_LA2S,Davies,Lagoon2,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_768,Spis_OCDA_768,Offshore Central GBR,24,0,0,OffshoreCentral,14:30:00,5,-18.83125,147.63316,OCDA_LA2S,Davies,Lagoon2,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_770,Spis_OCDA_770,Offshore Central GBR,4,0,0,OffshoreCentral,10:30:00,14,-18.82579,147.62735,OCDA_BA1D,Davies,Back1,Deep,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCDA_776,Spis_OCDA_776,Offshore Central GBR,5,0,0,OffshoreCentral,10:30:00,14,-18.82579,147.62735,OCDA_BA1D,Davies,Back1,Deep,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCDA_779,Spis_OCDA_779,Offshore Central GBR,21,0,0,OffshoreCentral,15:00:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back1,Shallow,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCDA_781,Spis_OCDA_781,Offshore Central GBR,3,0,0,OffshoreCentral,15:00:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back1,Shallow,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCDA_784,Spis_OCDA_784,Offshore Central GBR,7,0,0,OffshoreCentral,15:00:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back1,Shallow,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCDA_788,Spis_OCDA_788,Offshore Central GBR,22,0,0,OffshoreCentral,15:00:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back1,Shallow,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCLB_697,Spis_OCLB_697,Offshore Central GBR,8,0,0,OffshoreCentral,16:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back1,Shallow,0,Zoe Meziere,20,1,2022,20/1/2022
Spis_OCLB_701,Spis_OCLB_701,Offshore Central GBR,10,0,0,OffshoreCentral,16:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back1,Shallow,0,Zoe Meziere,20,1,2022,20/1/2022
Spis_OCLB_711,Spis_OCLB_711,Offshore Central GBR,1,0,0,OffshoreCentral,10:00:00,5,-18.944062,147.699285,OCLB_FL1S,Little Broadhurst,Flank1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_717,Spis_OCLB_717,Offshore Central GBR,11,0,0,OffshoreCentral,10:00:00,5,-18.944062,147.699285,OCLB_FL1S,Little Broadhurst,Flank1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_720,Spis_OCLB_720,Offshore Central GBR,9,0,0,OffshoreCentral,10:00:00,5,-18.944062,147.699285,OCLB_FL1S,Little Broadhurst,Flank1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_724,Spis_OCLB_724,Offshore Central GBR,14,0,0,OffshoreCentral,10:00:00,5,-18.944062,147.699285,OCLB_FL1S,Little Broadhurst,Flank1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_725,Spis_OCLB_725,Offshore Central GBR,5,0,0,OffshoreCentral,15:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_728,Spis_OCLB_728,Offshore Central GBR,4,0,0,OffshoreCentral,15:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_731,Spis_OCLB_731,Offshore Central GBR,12,0,0,OffshoreCentral,15:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_734,Spis_OCLB_734,Offshore Central GBR,10,0,0,OffshoreCentral,15:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_738,Spis_OCLB_738,Offshore Central GBR,11,0,0,OffshoreCentral,19:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_739,Spis_OCLB_739,Offshore Central GBR,6,0,0,OffshoreCentral,20:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
