gene,SNPs,hits,Z,top_candidate_p,Z_pVal
wind_9780,2,0,0.0015611011996002,1,0.583195201003375
wind_9785,1,0,-0.26033258572194,1,0.667879201632028
wind_9791,4,0,-0.264466915880661,1,0.672874030769382
wind_9792,5,0,1.23940930530725,1,0.19996911252624
wind_9794,1,1,1,1,1
wind_9799,8,0,0.664745929673143,1,0.370682935468932
wind_9800,1,0,-0.448324158538263,1,0.72503881579371
wind_9806,1,1,1,1,1
wind_9808,1,1,1,1,1
wind_9809,1,0,0.286634796022276,1,0.483029528902208
wind_9814,1,1,1,1,1
wind_9815,7,0,0.00717971953325534,1,0.589306963471216
wind_9818,4,0,0.34722502263179,1,0.468206356109572
wind_9820,4,0,0.310830493557016,1,0.480704449292536
wind_9822,2,0,-1.14926812231701,1,0.886759992185156
wind_9823,8,0,0.501871270800917,1,0.424111744842881
wind_9824,9,0,1.23774196177956,1,0.208820398029144
wind_9829,1,0,-1.0260700525853,1,0.864619603798185
wind_9833,1,1,1,1,1
wind_9837,2,0,0.761246231533621,1,0.326481283668924
wind_9839,1,0,-0.785319386558026,1,0.813676769539159
wind_9842,1,1,1,1,1
wind_9843,5,0,0.178295889447472,1,0.528118482816337
wind_9845,1,0,-0.448324158538263,1,0.72503881579371
wind_9846,1,0,-1.0260700525853,1,0.864619603798185
wind_9847,1,1,1,1,1
wind_9852,10,0,0.525911734871702,1,0.420292467625159
wind_9854,2,0,-0.162049458155929,1,0.637639693079103
wind_9857,3,0,0.479614759948397,1,0.420936118169848
wind_9863,1,0,-0.448324158538263,1,0.72503881579371
wind_9867,4,0,1.66324770455572,1,0.112187936390563
wind_9870,12,0,-0.863305131891426,1,0.83572629721259
wind_9871,27,0,0.661252117882045,1,0.41028377750319
wind_9875,11,0,1.9833234949974,1,0.0771149320758826
wind_9887,5,0,1.40927985921524,1,0.161631517775185
wind_9891,6,0,-0.315518045955871,1,0.690845273412196
wind_9892,3,1,0.0585798893776105,0.029701,0.565489675541317
wind_9893,4,0,-0.479311130164544,1,0.73669416511441
wind_9895,5,0,-0.290355351212441,1,0.682055796420916
wind_9896,1,0,0.665333072563313,1,0.354744931073839
wind_9899,21,0,0.224890150332447,1,0.539975145058238
wind_9902,19,0,-0.840088949844889,1,0.833579276724993
wind_9906,3,0,1.69609667915483,1,0.105220588268424
wind_9913,11,0,0.16161829087148,1,0.544310320167363
wind_9914,7,1,1.67239761299822,0.0679346520930101,0.1157515631269
wind_9915,6,0,1.04460109314823,1,0.252310364906087
wind_9917,3,0,0.0295588398593299,1,0.575353290309084
